word,count
need,3
like,3
generated,3
ai,3
detail,2
really,2
sometimes,2
resolution,2
select,2
idk,2
experiment,2
superresolution,2
real,2
keep,2
face,2
thing,2
looking,2
would,2
case,2
enhance,1
work,1
object,1
clear,1
grass,1
lion,1
okok,1
well,1
background,1
focus,1
yed,1
ok,1
main,1
eg,1
site,1
look,1
mobile,1
adaptation,1
improve,1
shared,1
ðŸ‘€,1
believe,1
biased,1
made,1
decision,1
result,1
human,1
sensei,1
include,1
quality,1
seem,1
perfect,1
people,1
hard,1
bit,1
certain,1
wont,1
blurred,1
atrifacts,1
high,1
everything,1
amazing,1
ðŸ˜˜,1
guy,1
low,1
typically,1
upscaling,1
good,1
might,1
technology,1
cctv,1
camera,1
capture,1
thief,1
tough,1
bad,1
boring,1
choose,1
time,1
consuming,1
fun,1
best,1
